title,launch_date,description,cc,type,curated,hackaton,category
Mixdown,2022-08-21T02:39:00.000+01:00,"A dapp for creating collaborative audio on top of Lens Protocol. Fork, remix, add, collect, and collaborate.",undefined,Hackaton,false,ETHMexico2022,Other
Off-chain,2022-10-17T02:39:00.000+01:00,Off-chan spending application with social sharing features,undefined,Hackaton,false,ETHBogota2022,Other
OpenSea,2022-10-17T02:39:00.000+01:00,undefined,undefined,Partner,true,undefined,Other
PhiLand,2022-10-17T02:39:00.000+01:00,Unlock Lens challenges to build your web3 cities from your wallet activities. ,undefined,Application,true,undefined,Other
RallyFM,2022-10-17T02:39:00.000+01:00,Rally is an open-source alternative to Twitter Space and Clubhouse. Just connect your wallet and pick a room to drop-in and listen what's up.,undefined,Application,true,undefined,Other
Regenerative Lens,2022-10-17T02:39:00.000+01:00,Enable Lens Protocol to create a social network with positive climate impact and gamified system,undefined,Hackaton,false,LFGROW,Other
Roci.fi,undefined,On-chain credit scoring for under-collateralized retail loans.,undefined,Application,true,undefined,Other
Saturn,2022-10-17T02:39:00.000+01:00,undefined,undefined,Application,false,undefined,Other
SendACoin,2022-10-28T09:04:00.000+01:00,Visit the handle page for your profile. Look at your profile's appearance.,undefined,Application,true,undefined,Other
Serif,2022-10-17T02:39:00.000+01:00,undefined,undefined,Application,false,undefined,Other
SocialLens,2022-08-21T02:39:00.000+01:00,"An immersive VR social app in which people can share, experience, discover and collect any NFT contents to their own wallet.",undefined,Hackaton,false,ETHMexico2022,Other
SocialNouns,2022-10-17T02:39:00.000+01:00,Social Nouns NFT Collection,undefined,NFT,true,undefined,Other
Soclly,2022-10-17T02:39:00.000+01:00,Shape your Web3 dreams into reality by interacting with Web3 Gurus,undefined,Application,false,undefined,Other
TATER POT,2022-10-17T02:39:00.000+01:00,A lottery game of hot potato & uncomfortable truths addressing bias + privacy,undefined,Hackaton,false,ETHBerlin2022,Other
ToucanFrens,2022-10-17T02:39:00.000+01:00,Show gratitude for social media content with CO2 retirement,undefined,Hackaton,false,ETHBerlin2022,Other
Troop.Finance,2022-10-17T02:39:00.000+01:00,Invest better together,undefined,Integration,true,undefined,Other
Wav3s,2022-10-28T09:04:00.000+01:00,Reward users sharing your publications,undefined,Application,true,undefined,Other
WhisperChain,undefined,Whisper Chain is a fun social experiment. This is our take on the famous game of Chinese whispers or telephone,undefined,Hackaton,false,ETHIndia2022,Other
Whistleblower - Wikileaks,2022-10-17T02:39:00.000+01:00,"Whistleblower allows anyone from all over the world to post data, ideas, thoughts, and documents, privately and securely forever using Lens Protocol",undefined,Hackaton,false,ETHBerlin2022,Other
Zerion,2022-10-17T02:39:00.000+01:00,Allows for transactions with lens handles,undefined,Partner,true,undefined,Other
zkGraph,2022-10-17T02:39:00.000+01:00,"StarkNet and Lens Protocol compatible smart contracts-based social graph, fully composable and user-owned",undefined,Application,false,undefined,Other
Awesome Lens Protocol,2022-10-17T02:39:00.000+01:00,"A curated list of awesome Lens Protocol projects, resources, libraries, tools and more.",undefined,Resource,true,undefined,Resource 📖
BrandKit,2022-10-17T02:39:00.000+01:00,Branding assets,undefined,Resource,true,undefined,Resource 📖
Build Web3 Experiences with Lens Protocol,undefined,Build Web3 Experiences with Lens Protocol,undefined,Resource,true,undefined,Resource 📖
Building a Full Stack Social Mobile App,undefined,"Building a Full Stack Social Mobile App in 15 minutes with Expo, React Native, and Lens Protocol",undefined,Resource,true,undefined,Resource 📖
Building A New Social Network,2022-10-23T17:54:00.000+01:00,Building A New Social Network with web3,undefined,Resource,true,undefined,Resource 📖
Chris Dixon and Naval Ravikant — The Wonders of Web3,undefined,The Wonders of Web3,undefined,Resource,true,undefined,Resource 📖
Contracts,2022-10-17T02:39:00.000+01:00,Lens Protocol contracts,undefined,Resource,true,undefined,Resource 📖
Decentralizing social networks,undefined,Stani on Decentralizing social networks,undefined,Resource,true,undefined,Resource 📖
Inspiration for builders,2022-10-19T16:08:00.000+01:00,Ideas to build on Lens,undefined,Resource,true,undefined,Resource 📖
Lens Hotlink,2022-10-17T02:39:00.000+01:00,Links to Lens Protocol posts/profiles that open in the user's preferred frontend,undefined,Resource,false,undefined,Resource 📖
Lens Protocol - The ULTIMATE Guide,undefined,Build A Decentralized Web3 Social Media App!,undefined,Resource,true,undefined,Resource 📖
Lens useful link and resource,2022-10-17T02:39:00.000+01:00,Lens useful link and resource,undefined,Resource,true,undefined,Resource 📖
lens-map,2022-10-18T15:53:00.000+01:00,Lens Map Notion Repo,undefined,Resource,true,undefined,Resource 📖
Lensgarden,undefined,Lens ecosystem landing map,undefined,Resource,true,undefined,Resource 📖
Lensverse Ideas,2022-10-19T16:08:00.000+01:00,Ideas to build on Lens,undefined,Resource,true,undefined,Resource 📖
Nader Video Tutorial,2022-10-17T02:39:00.000+01:00,"Building a Social Media App with Lens Protocol, Next.js, and GraphQL.",undefined,Resource,false,undefined,Resource 📖
Optimistic UX,undefined,"The endgame for solving blockchain UX means abstracting all base layers that orchestrate the backend and have only great applications on top, that just works.",undefined,Resource,true,undefined,Resource 📖
Sahil Lavingia — From Web 2.1 to Web 3,undefined,Sahil Lavingia — From Web 2.1 to Web 3,undefined,Resource,true,undefined,Resource 📖
The Future of Decentralized Social,undefined,The Future of Decentralized Social,undefined,Resource,true,undefined,Resource 📖
Web3 Social Front-ends: A glimpse into the future,undefined,There are already 8 front-end applications created on top of Lens Protocol. All of them are still in beta and early stages of development but are growing fast driven by visionary entrepreneurs and developers.,undefined,Resource,true,undefined,Resource 📖
Web3 Social Hub by Fei,2022-10-17T22:38:00.000+01:00,Web3 Social notion doc,undefined,Resource,true,undefined,Resource 📖
Web3 Social Media,undefined,Bradley on Web3 Social Media,undefined,Resource,true,undefined,Resource 📖
